,F,F_Lookback,G,G_Lookback,FReturn_Type,FReturn_lookforward,NMI
0,add_fisher,3,x,5,MinFReturn,260,0.2337119246080123
1,add_fisher,3,x,3,MinFReturn,260,0.23360360452674883
2,add_fisher,3,x,7,FReturn,180,0.22760176941432592
3,add_fisher,3,x,5,FReturn,180,0.22753331539502344
4,add_fisher,3,x,3,FReturn,180,0.22735502172783503
5,add_fisher,3,x,3,FReturn,260,0.22652832269218387
6,add_fisher,3,x,7,FReturn,260,0.22651067642149858
7,add_fisher,3,x,5,FReturn,260,0.22646483976179968
8,add_fisher,3,x,3,MaxFReturn,260,0.22591057730984232
9,add_fisher,3,x,5,MaxFReturn,260,0.2258889795422669
10,add_fisher,3,x,5,MinFReturn,180,0.2234725752112545
11,add_fisher,3,x,3,MinFReturn,180,0.22336984526530942
12,add_fisher,3,x,3,MaxFReturn,180,0.21614390971071865
13,add_fisher,3,x,5,MaxFReturn,180,0.21614147391847777
14,add_fisher,3,x,3,MinFReturn,60,0.19595716714291916
15,add_fisher,3,x,5,MinFReturn,60,0.19594804019791237
16,add_fisher,3,x,3,MinFReturn,45,0.19238897124640422
17,add_fisher,3,x,5,MinFReturn,45,0.19235057104817455
18,add_fisher,3,x,7,FReturn,60,0.18811938729998426
19,add_fisher,3,x,5,FReturn,60,0.18804895273715136
20,add_fisher,3,x,3,FReturn,60,0.1878992505581506
21,add_fisher,3,x,7,FReturn,30,0.1873956485850098
22,add_fisher,3,x,5,FReturn,30,0.18727205189833587
23,add_fisher,3,x,3,FReturn,30,0.1870948946930112
24,add_fisher,3,x,7,FReturn,15,0.18552328436787335
25,add_fisher,3,x,5,FReturn,15,0.18541690187305304
26,add_fisher,3,x,3,FReturn,15,0.18527548515723574
27,add_fisher,3,x,7,FReturn,20,0.1847806448779885
28,add_fisher,3,x,5,FReturn,20,0.18470991075357354
29,add_fisher,3,x,3,FReturn,20,0.18461989346137794
30,add_fisher,3,x,7,FReturn,45,0.18461118118995437
31,add_fisher,3,x,5,FReturn,45,0.18442134816545727
32,add_fisher,3,x,3,FReturn,45,0.18437940693073576
33,add_fisher,3,x,5,MaxFReturn,30,0.18416916630318658
34,add_fisher,3,x,7,MaxFReturn,20,0.18412561919216397
35,add_fisher,3,x,7,MaxFReturn,30,0.18407414702827699
36,add_fisher,3,x,5,MaxFReturn,20,0.18402782735909437
37,add_fisher,3,x,3,MaxFReturn,30,0.18402391196906226
38,add_fisher,3,x,3,MaxFReturn,20,0.183968610889822
39,add_fisher,3,x,7,MaxFReturn,15,0.18006949352604437
40,add_fisher,3,x,5,MaxFReturn,15,0.18004700687836858
41,add_fisher,3,x,3,MaxFReturn,15,0.1799477719763594
42,add_fisher,3,x,3,FReturn,7,0.17981235133788703
43,add_fisher,3,x,5,FReturn,7,0.17980887124380632
44,add_fisher,3,x,7,FReturn,7,0.17978756459179654
45,add_fisher,3,x,7,FReturn,10,0.17878267139915785
46,add_fisher,3,x,5,FReturn,10,0.1787110623370853
47,add_fisher,3,x,3,FReturn,10,0.17856138924007722
48,add_fisher,3,x,5,MaxFReturn,10,0.1737936249131901
49,add_fisher,3,x,7,MaxFReturn,10,0.1737375811128851
50,add_fisher,3,x,3,MaxFReturn,10,0.17361876068173085
51,add_fisher,3,x,5,MinFReturn,30,0.17326257183127405
52,add_fisher,3,x,3,MinFReturn,30,0.17305899242658657
53,add_fisher,3,x,5,MaxFReturn,60,0.17141052944030102
54,add_fisher,3,x,3,MaxFReturn,60,0.17123012046873204
55,add_fisher,3,x,7,FReturn,5,0.170720382884225
56,add_fisher,3,x,5,FReturn,5,0.1707066415761225
57,add_fisher,3,x,3,FReturn,5,0.1706728947178178
58,add_fisher,3,x,5,MinFReturn,20,0.1681563518803403
59,add_fisher,3,x,3,MinFReturn,20,0.16797424127588706
60,add_fisher,3,x,5,MaxFReturn,45,0.1667984131987081
61,add_fisher,3,x,3,MaxFReturn,45,0.166768289722871
62,add_fisher,3,x,5,MinFReturn,7,0.16590128216288022
63,add_fisher,3,x,3,MinFReturn,7,0.16584414008892007
64,add_fisher,3,x,7,MaxFReturn,7,0.1658215582216395
65,add_fisher,3,x,5,MaxFReturn,7,0.16577092738419308
66,add_fisher,3,x,3,MaxFReturn,7,0.1656956913456977
67,add_fisher,3,x,5,MinFReturn,15,0.16449865525310894
68,add_fisher,3,x,3,MinFReturn,15,0.16431542226736434
69,add_fisher,3,x,5,MinFReturn,10,0.16159476067964207
70,add_fisher,3,x,3,MinFReturn,10,0.16134822448660466
71,add_fisher,3,x,5,MaxFReturn,5,0.15600233915444978
72,add_fisher,3,x,3,MaxFReturn,5,0.1559895436037008
73,add_fisher,3,x,7,MaxFReturn,5,0.15588342070687602
74,add_fisher,3,x,3,FReturn,3,0.1534177237000748
75,add_fisher,3,x,5,FReturn,3,0.15337447840053206
76,add_fisher,3,x,7,FReturn,3,0.1533651120610338
77,add_fisher,3,x,5,MinFReturn,5,0.15332038878064178
78,add_fisher,3,x,3,MinFReturn,5,0.15317386241280853
79,add_fisher,3,x,3,MaxFReturn,3,0.15111105433739813
80,add_fisher,3,x,5,MaxFReturn,3,0.151037674787903
81,add_fisher,3,x,7,MaxFReturn,3,0.15100136452813956
82,add_fisher,3,x,5,FReturn,2,0.14445031412187265
83,add_fisher,3,x,7,FReturn,2,0.14435002066538538
84,add_fisher,3,x,3,FReturn,2,0.14432252452521788
85,add_fisher,3,x,5,MinFReturn,2,0.14017050243412885
86,add_fisher,3,x,3,MinFReturn,2,0.14012679073155196
87,add_fisher,3,x,5,MinFReturn,3,0.1368781390926698
88,add_fisher,3,x,5,MaxFReturn,2,0.13687497121352057
89,add_fisher,3,x,3,MinFReturn,3,0.13686006575379517
90,add_fisher,3,x,7,MaxFReturn,2,0.13681240862802027
91,add_fisher,3,x,5,MaxFReturn,1,0.13679133357150844
92,add_fisher,3,x,5,FReturn,1,0.13679133357150844
93,add_fisher,3,x,5,MinFReturn,1,0.13679133357150844
94,add_fisher,3,x,7,MaxFReturn,1,0.13674544061504554
95,add_fisher,3,x,7,FReturn,1,0.13674544061504554
96,add_fisher,3,x,3,MinFReturn,1,0.13670855039830643
97,add_fisher,3,x,3,MaxFReturn,1,0.13670855039830643
98,add_fisher,3,x,3,FReturn,1,0.13670855039830643
99,add_fisher,3,x,3,MaxFReturn,2,0.13670462965334762
